[2024-06-06T16:24:42.788+0530] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-06T16:24:42.842+0530] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_data_pipeline_dag.collect_data_3 manual__2024-06-06T10:52:24.734916+00:00 [queued]>
[2024-06-06T16:24:42.892+0530] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_data_pipeline_dag.collect_data_3 manual__2024-06-06T10:52:24.734916+00:00 [queued]>
[2024-06-06T16:24:42.892+0530] {taskinstance.py:2303} INFO - Starting attempt 1 of 2
[2024-06-06T16:24:42.950+0530] {taskinstance.py:2327} INFO - Executing <Task(BashOperator): collect_data_3> on 2024-06-06 10:52:24.734916+00:00
[2024-06-06T16:24:42.962+0530] {standard_task_runner.py:63} INFO - Started process 51210 to run task
[2024-06-06T16:24:42.978+0530] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'my_data_pipeline_dag', 'collect_data_3', 'manual__2024-06-06T10:52:24.734916+00:00', '--job-id', '78', '--raw', '--subdir', 'DAGS_FOLDER/my_first_dag.py', '--cfg-path', '/tmp/tmpwzuij01e']
[2024-06-06T16:24:42.981+0530] {standard_task_runner.py:91} INFO - Job 78: Subtask collect_data_3
[2024-06-06T16:24:43.093+0530] {task_command.py:426} INFO - Running <TaskInstance: my_data_pipeline_dag.collect_data_3 manual__2024-06-06T10:52:24.734916+00:00 [running]> on host DESKTOP-J05K55U.
[2024-06-06T16:24:43.176+0530] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='airflow@example.com' AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='my_data_pipeline_dag' AIRFLOW_CTX_TASK_ID='collect_data_3' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T10:52:24.734916+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T10:52:24.734916+00:00'
[2024-06-06T16:24:43.178+0530] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-06T16:24:43.179+0530] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-06-06T16:24:43.179+0530] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python "/home/wsl/airflow/dags/Collect Data/test.py"']
[2024-06-06T16:24:43.193+0530] {subprocess.py:86} INFO - Output:
[2024-06-06T16:24:49.849+0530] {subprocess.py:93} INFO - 24/06/06 16:24:49 WARN Utils: Your hostname, DESKTOP-J05K55U resolves to a loopback address: 127.0.1.1; using 172.31.56.255 instead (on interface eth0)
[2024-06-06T16:24:49.853+0530] {subprocess.py:93} INFO - 24/06/06 16:24:49 WARN Utils: Set SPARK_LOCAL_IP if you need to bind to another address
[2024-06-06T16:24:51.471+0530] {subprocess.py:93} INFO - Setting default log level to "WARN".
[2024-06-06T16:24:51.471+0530] {subprocess.py:93} INFO - To adjust logging level use sc.setLogLevel(newLevel). For SparkR, use setLogLevel(newLevel).
[2024-06-06T16:24:52.049+0530] {subprocess.py:93} INFO - 24/06/06 16:24:52 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
[2024-06-06T16:24:53.249+0530] {subprocess.py:93} INFO - 24/06/06 16:24:53 WARN Utils: Service 'SparkUI' could not bind on port 4040. Attempting port 4041.
[2024-06-06T16:25:04.676+0530] {subprocess.py:93} INFO - [Stage 0:>                                                          (0 + 1) / 1][Stage 0:===========================================================(1 + 0) / 1]                                                                                [Stage 3:>                                                          (0 + 1) / 1]                                                                                <pyspark.sql.session.SparkSession object at 0x7f6bf8571ae0>
[2024-06-06T16:25:04.676+0530] {subprocess.py:93} INFO - +----------+---------+-----------+------+------+
[2024-06-06T16:25:04.676+0530] {subprocess.py:93} INFO - |      date|continent|   location| cases|deaths|
[2024-06-06T16:25:04.677+0530] {subprocess.py:93} INFO - +----------+---------+-----------+------+------+
[2024-06-06T16:25:04.677+0530] {subprocess.py:93} INFO - |2020-03-23|     Asia|Afghanistan|    40|     1|
[2024-06-06T16:25:04.677+0530] {subprocess.py:93} INFO - |2020-03-24|     Asia|Afghanistan|    42|     1|
[2024-06-06T16:25:04.677+0530] {subprocess.py:93} INFO - |2020-03-25|     Asia|Afghanistan|    74|     1|
[2024-06-06T16:25:04.678+0530] {subprocess.py:93} INFO - |2020-03-26|     Asia|Afghanistan|    80|     2|
[2024-06-06T16:25:04.678+0530] {subprocess.py:93} INFO - |2020-03-27|     Asia|Afghanistan|    91|     2|
[2024-06-06T16:25:04.678+0530] {subprocess.py:93} INFO - |2020-03-28|     Asia|Afghanistan|   106|     2|
[2024-06-06T16:25:04.678+0530] {subprocess.py:93} INFO - |2020-03-29|     Asia|Afghanistan|   114|     4|
[2024-06-06T16:25:04.678+0530] {subprocess.py:93} INFO - |2020-03-30|     Asia|Afghanistan|   114|     4|
[2024-06-06T16:25:04.679+0530] {subprocess.py:93} INFO - |2020-03-31|     Asia|Afghanistan|   166|     4|
[2024-06-06T16:25:04.679+0530] {subprocess.py:93} INFO - |2020-04-01|     Asia|Afghanistan|   192|     4|
[2024-06-06T16:25:04.679+0530] {subprocess.py:93} INFO - |2020-04-02|     Asia|Afghanistan|   235|     4|
[2024-06-06T16:25:04.679+0530] {subprocess.py:93} INFO - |2020-04-03|     Asia|Afghanistan|   269|     5|
[2024-06-06T16:25:04.679+0530] {subprocess.py:93} INFO - |2020-04-04|     Asia|Afghanistan|   270|     5|
[2024-06-06T16:25:04.680+0530] {subprocess.py:93} INFO - |2020-04-05|     Asia|Afghanistan|   299|     7|
[2024-06-06T16:25:04.680+0530] {subprocess.py:93} INFO - |2020-04-06|     Asia|Afghanistan|   337|     7|
[2024-06-06T16:25:04.680+0530] {subprocess.py:93} INFO - |2020-04-07|     Asia|Afghanistan|   367|    11|
[2024-06-06T16:25:04.680+0530] {subprocess.py:93} INFO - |2020-04-08|     Asia|Afghanistan|   423|    14|
[2024-06-06T16:25:04.680+0530] {subprocess.py:93} INFO - |2020-04-09|     Asia|Afghanistan|   444|    15|
[2024-06-06T16:25:04.680+0530] {subprocess.py:93} INFO - |2020-04-10|     Asia|Afghanistan|   521|    15|
[2024-06-06T16:25:04.681+0530] {subprocess.py:93} INFO - |2020-04-11|     Asia|Afghanistan|   521|    15|
[2024-06-06T16:25:04.681+0530] {subprocess.py:93} INFO - |2020-04-12|     Asia|Afghanistan|   555|    18|
[2024-06-06T16:25:04.681+0530] {subprocess.py:93} INFO - |2020-04-13|     Asia|Afghanistan|   607|    19|
[2024-06-06T16:25:04.681+0530] {subprocess.py:93} INFO - |2020-04-14|     Asia|Afghanistan|   665|    22|
[2024-06-06T16:25:04.681+0530] {subprocess.py:93} INFO - |2020-04-15|     Asia|Afghanistan|   770|    25|
[2024-06-06T16:25:04.682+0530] {subprocess.py:93} INFO - |2020-04-16|     Asia|Afghanistan|   794|    29|
[2024-06-06T16:25:04.682+0530] {subprocess.py:93} INFO - |2020-04-17|     Asia|Afghanistan|   845|    30|
[2024-06-06T16:25:04.682+0530] {subprocess.py:93} INFO - |2020-04-18|     Asia|Afghanistan|   908|    30|
[2024-06-06T16:25:04.682+0530] {subprocess.py:93} INFO - |2020-04-19|     Asia|Afghanistan|   933|    30|
[2024-06-06T16:25:04.682+0530] {subprocess.py:93} INFO - |2020-04-20|     Asia|Afghanistan|   996|    33|
[2024-06-06T16:25:04.682+0530] {subprocess.py:93} INFO - |2020-04-21|     Asia|Afghanistan|  1026|    36|
[2024-06-06T16:25:04.683+0530] {subprocess.py:93} INFO - |2020-04-22|     Asia|Afghanistan|  1092|    36|
[2024-06-06T16:25:04.683+0530] {subprocess.py:93} INFO - |2020-04-23|     Asia|Afghanistan|  1176|    40|
